Country,ISO3,Year,Temp_Change
United States,USA,2001,0.78
World,WLD,2001,0.833
Australia,AUS,2002,0.706
Austria,AUT,2002,1.539
"Belarus, Rep. of",BLR,2002,1.891
Belgium,BEL,2002,1.378
Brazil,BRA,2002,1.038
Bulgaria,BGR,2002,0.833
Canada,CAN,2002,0.559
"China, P.R.: Mainland",CHN,2002,1.113
"Croatia, Rep. of",HRV,2002,1.266
Cyprus,CYP,2002,0.811
Czech Rep.,CZE,2002,1.523
Denmark,DNK,2002,1.658
"Estonia, Rep. of",EST,2002,1.466
Finland,FIN,2002,1.166
France,FRA,2002,1.01
Germany,DEU,2002,1.478
Greece,GRC,2002,0.415
Hungary,HUN,2002,1.442
Iceland,ISL,2002,0.821
Ireland,IRL,2002,0.809
Italy,ITA,2002,0.884
Japan,JPN,2002,0.594
"Kazakhstan, Rep. of",KAZ,2002,2.252
"Korea, Rep. of",KOR,2002,0.683
Latvia,LVA,2002,1.705
Liechtenstein,LIE,2002,1.381
Lithuania,LTU,2002,1.908
Luxembourg,LUX,2002,1.369
Malta,MLT,2002,0.91
"Netherlands, The",NLD,2002,1.517
New Zealand,NZL,2002,0.43
Norway,NOR,2002,1.403
"Poland, Rep. of",POL,2002,1.692
Portugal,PRT,2002,0.622
Romania,ROU,2002,1.214
Russian Federation,RUS,2002,1.583
Slovak Rep.,SVK,2002,1.38
"Slovenia, Rep. of",SVN,2002,1.525
Spain,ESP,2002,0.743
Sweden,SWE,2002,1.571
Switzerland,CHE,2002,1.247
Turkey,TUR,2002,0.747
Ukraine,UKR,2002,1.539
United Kingdom,GBR,2002,1.002
United States,USA,2002,0.946
World,WLD,2002,1.018
Australia,AUS,2003,0.807
Austria,AUT,2003,1.473
"Belarus, Rep. of",BLR,2003,0.08
Belgium,BEL,2003,1.505
Brazil,BRA,2003,0.907
Bulgaria,BGR,2003,0.159
Canada,CAN,2003,1.258
"China, P.R.: Mainland",CHN,2003,0.8
"Croatia, Rep. of",HRV,2003,1.287
Cyprus,CYP,2003,0.564
Czech Rep.,CZE,2003,1.074
Denmark,DNK,2003,0.712
"Estonia, Rep. of",EST,2003,0.218
Finland,FIN,2003,0.707
France,FRA,2003,1.752
Germany,DEU,2003,1.248
Greece,GRC,2003,0.377
Hungary,HUN,2003,0.732
Iceland,ISL,2003,1.844
Ireland,IRL,2003,1.006
Italy,ITA,2003,1.497
Japan,JPN,2003,0.286
"Kazakhstan, Rep. of",KAZ,2003,0.132
"Korea, Rep. of",KOR,2003,0.662
Latvia,LVA,2003,0.227
Liechtenstein,LIE,2003,1.672
Lithuania,LTU,2003,0.173
Luxembourg,LUX,2003,1.67
Malta,MLT,2003,1.387
"Netherlands, The",NLD,2003,1.196
New Zealand,NZL,2003,0.246
Norway,NOR,2003,1.117
"Poland, Rep. of",POL,2003,0.356
Portugal,PRT,2003,1.405
Romania,ROU,2003,0.14
Russian Federation,RUS,2003,0.985
Slovak Rep.,SVK,2003,0.653
"Slovenia, Rep. of",SVN,2003,1.46
Spain,ESP,2003,1.529
Sweden,SWE,2003,0.92
Switzerland,CHE,2003,1.837
Turkey,TUR,2003,0.251
Ukraine,UKR,2003,-0.268
United Kingdom,GBR,2003,1.185
United States,USA,2003,0.987
World,WLD,2003,0.89
Australia,AUS,2004,0.698
Austria,AUT,2004,0.839
"Belarus, Rep. of",BLR,2004,0.926
Belgium,BEL,2004,1.07
Brazil,BRA,2004,0.766
Bulgaria,BGR,2004,0.496
Canada,CAN,2004,0.506
"China, P.R.: Mainland",CHN,2004,1.085
"Croatia, Rep. of",HRV,2004,0.68
Cyprus,CYP,2004,0.603
Czech Rep.,CZE,2004,0.814
Denmark,DNK,2004,1.036
"Estonia, Rep. of",EST,2004,1.159
Finland,FIN,2004,1.225
France,FRA,2004,0.924
Germany,DEU,2004,0.988
Greece,GRC,2004,0.327
Hungary,HUN,2004,0.572
Iceland,ISL,2004,1.292
Ireland,IRL,2004,0.878
Italy,ITA,2004,0.718
Japan,JPN,2004,1.077
"Kazakhstan, Rep. of",KAZ,2004,2.156
"Korea, Rep. of",KOR,2004,1.235
Latvia,LVA,2004,0.996
Liechtenstein,LIE,2004,0.896
Lithuania,LTU,2004,0.869
Luxembourg,LUX,2004,0.994
Malta,MLT,2004,0.691
"Netherlands, The",NLD,2004,1.15
New Zealand,NZL,2004,0.043
Norway,NOR,2004,1.314
"Poland, Rep. of",POL,2004,0.769
Portugal,PRT,2004,0.972
Romania,ROU,2004,0.552
Russian Federation,RUS,2004,1.394
Slovak Rep.,SVK,2004,0.549
"Slovenia, Rep. of",SVN,2004,0.765
Spain,ESP,2004,0.927
Sweden,SWE,2004,1.201
Switzerland,CHE,2004,0.961
Turkey,TUR,2004,0.548
Ukraine,UKR,2004,0.918
United Kingdom,GBR,2004,1.026
United States,USA,2004,0.86
World,WLD,2004,0.908
Australia,AUS,2005,1.181
Austria,AUT,2005,0.638
"Belarus, Rep. of",BLR,2005,1.271
Belgium,BEL,2005,1.178
Brazil,BRA,2005,1.091
Bulgaria,BGR,2005,0.18
Canada,CAN,2005,1.302
"China, P.R.: Mainland",CHN,2005,1.022
"Croatia, Rep. of",HRV,2005,0.307
Cyprus,CYP,2005,0.329
Czech Rep.,CZE,2005,0.742
Denmark,DNK,2005,1.284
"Estonia, Rep. of",EST,2005,1.579
Finland,FIN,2005,2.195
France,FRA,2005,0.968
Germany,DEU,2005,1.015
Greece,GRC,2005,0.209
Hungary,HUN,2005,0.258
Iceland,ISL,2005,0.509
Ireland,IRL,2005,1.162
Italy,ITA,2005,0.528
Japan,JPN,2005,0.698
"Kazakhstan, Rep. of",KAZ,2005,1.559
"Korea, Rep. of",KOR,2005,0.969
Latvia,LVA,2005,1.329
Liechtenstein,LIE,2005,0.661
Lithuania,LTU,2005,1.195
Luxembourg,LUX,2005,1.112
Malta,MLT,2005,0.706
"Netherlands, The",NLD,2005,1.241
New Zealand,NZL,2005,0.449
Norway,NOR,2005,1.785
"Poland, Rep. of",POL,2005,0.866
Portugal,PRT,2005,0.941
Romania,ROU,2005,0.295
Russian Federation,RUS,2005,1.699
Slovak Rep.,SVK,2005,0.397
"Slovenia, Rep. of",SVN,2005,0.517
Spain,ESP,2005,0.824
Sweden,SWE,2005,1.828
Switzerland,CHE,2005,0.796
Turkey,TUR,2005,0.385
Ukraine,UKR,2005,1.01
United Kingdom,GBR,2005,1.11
United States,USA,2005,1.149
World,WLD,2005,1.09
Australia,AUS,2006,0.683
Austria,AUT,2006,0.921
"Belarus, Rep. of",BLR,2006,0.642
Belgium,BEL,2006,1.379
Brazil,BRA,2006,0.778
Bulgaria,BGR,2006,0.538
Canada,CAN,2006,2.359
"China, P.R.: Mainland",CHN,2006,1.205
"Croatia, Rep. of",HRV,2006,0.735
Cyprus,CYP,2006,0.615
Czech Rep.,CZE,2006,0.948
Denmark,DNK,2006,1.352
"Estonia, Rep. of",EST,2006,1.237
Finland,FIN,2006,1.2
France,FRA,2006,1.256
Germany,DEU,2006,1.248
Greece,GRC,2006,0.247
Hungary,HUN,2006,0.722
Iceland,ISL,2006,1.089
Ireland,IRL,2006,1.157
Italy,ITA,2006,0.808
Japan,JPN,2006,0.346
"Kazakhstan, Rep. of",KAZ,2006,1.445
"Korea, Rep. of",KOR,2006,0.538
Latvia,LVA,2006,1.058
Liechtenstein,LIE,2006,0.96
Lithuania,LTU,2006,0.91
Luxembourg,LUX,2006,1.338
Malta,MLT,2006,1.033
"Netherlands, The",NLD,2006,1.494
New Zealand,NZL,2006,0.395
Norway,NOR,2006,1.525
"Poland, Rep. of",POL,2006,0.817
Portugal,PRT,2006,1.498
Romania,ROU,2006,0.516
Russian Federation,RUS,2006,0.546
Slovak Rep.,SVK,2006,0.627
"Slovenia, Rep. of",SVN,2006,0.904
Spain,ESP,2006,1.459
Sweden,SWE,2006,1.492
Switzerland,CHE,2006,1.082
Turkey,TUR,2006,0.833
Ukraine,UKR,2006,0.26
United Kingdom,GBR,2006,1.243
United States,USA,2006,1.023
World,WLD,2006,0.982
Australia,AUS,2007,0.887
Austria,AUT,2007,2.15
"Belarus, Rep. of",BLR,2007,2.357
Belgium,BEL,2007,1.864
Brazil,BRA,2007,0.971
Bulgaria,BGR,2007,1.858
Canada,CAN,2007,1.345
"China, P.R.: Mainland",CHN,2007,1.511
"Croatia, Rep. of",HRV,2007,1.995
Cyprus,CYP,2007,0.804
Czech Rep.,CZE,2007,2.161
Denmark,DNK,2007,2.136
"Estonia, Rep. of",EST,2007,2.24
Finland,FIN,2007,1.94
France,FRA,2007,1.349
Germany,DEU,2007,2.08
Greece,GRC,2007,1.068
Hungary,HUN,2007,2.165
Iceland,ISL,2007,1.155
Ireland,IRL,2007,1.355
Italy,ITA,2007,1.519
Japan,JPN,2007,0.961
"Kazakhstan, Rep. of",KAZ,2007,2.2
"Korea, Rep. of",KOR,2007,1.304
Latvia,LVA,2007,2.175
Liechtenstein,LIE,2007,1.935
Lithuania,LTU,2007,2.182
Luxembourg,LUX,2007,1.923
Malta,MLT,2007,1.425
"Netherlands, The",NLD,2007,2.061
New Zealand,NZL,2007,0.258
Norway,NOR,2007,1.713
"Poland, Rep. of",POL,2007,2.127
Portugal,PRT,2007,0.717
Romania,ROU,2007,2.116
Russian Federation,RUS,2007,2.483
Slovak Rep.,SVK,2007,2.147
"Slovenia, Rep. of",SVN,2007,2.205
Spain,ESP,2007,0.767
Sweden,SWE,2007,1.94
Switzerland,CHE,2007,1.798
Turkey,TUR,2007,0.93
Ukraine,UKR,2007,2.365
United Kingdom,GBR,2007,1.327
United States,USA,2007,1.141
World,WLD,2007,1.181
Australia,AUS,2008,0.582
Austria,AUT,2008,1.593
"Belarus, Rep. of",BLR,2008,2.247
Belgium,BEL,2008,1.238
Brazil,BRA,2008,0.72
Bulgaria,BGR,2008,1.165
Canada,CAN,2008,0.868
"China, P.R.: Mainland",CHN,2008,1.063
"Croatia, Rep. of",HRV,2008,1.468
Cyprus,CYP,2008,1.021
Czech Rep.,CZE,2008,1.635
Denmark,DNK,2008,1.858
"Estonia, Rep. of",EST,2008,2.582
Finland,FIN,2008,2.125
France,FRA,2008,0.933
Germany,DEU,2008,1.532
Greece,GRC,2008,0.872
Hungary,HUN,2008,1.52
Iceland,ISL,2008,0.806
Ireland,IRL,2008,0.858
Italy,ITA,2008,1.089
Japan,JPN,2008,0.631
"Kazakhstan, Rep. of",KAZ,2008,1.556
"Korea, Rep. of",KOR,2008,0.993
Latvia,LVA,2008,2.375
Liechtenstein,LIE,2008,1.39
Lithuania,LTU,2008,2.21
Luxembourg,LUX,2008,1.262
Malta,MLT,2008,1.299
"Netherlands, The",NLD,2008,1.42
New Zealand,NZL,2008,0.553
Norway,NOR,2008,1.641
"Poland, Rep. of",POL,2008,1.73
Portugal,PRT,2008,0.602
Romania,ROU,2008,1.331
Russian Federation,RUS,2008,2.213
Slovak Rep.,SVK,2008,1.53
"Slovenia, Rep. of",SVN,2008,1.612
Spain,ESP,2008,0.8
Sweden,SWE,2008,1.965
Switzerland,CHE,2008,1.19
Turkey,TUR,2008,0.808
Ukraine,UKR,2008,1.608
United Kingdom,GBR,2008,0.835
United States,USA,2008,0.21
World,WLD,2008,0.92
Australia,AUS,2009,0.986
Austria,AUT,2009,1.552
"Belarus, Rep. of",BLR,2009,1.593
Belgium,BEL,2009,1.142
Brazil,BRA,2009,0.942
Bulgaria,BGR,2009,1.273
Canada,CAN,2009,0.551
"China, P.R.: Mainland",CHN,2009,1.311
"Croatia, Rep. of",HRV,2009,1.51
Cyprus,CYP,2009,0.973
Czech Rep.,CZE,2009,1.413
Denmark,DNK,2009,1.324
"Estonia, Rep. of",EST,2009,1.597
Finland,FIN,2009,1.685
France,FRA,2009,1.148
Germany,DEU,2009,1.27
Greece,GRC,2009,0.758
Hungary,HUN,2009,1.637
Iceland,ISL,2009,0.965
Ireland,IRL,2009,0.824
Italy,ITA,2009,1.182
Japan,JPN,2009,0.764
"Kazakhstan, Rep. of",KAZ,2009,1.187
"Korea, Rep. of",KOR,2009,0.989
Latvia,LVA,2009,1.499
Liechtenstein,LIE,2009,1.404
Lithuania,LTU,2009,1.385
Luxembourg,LUX,2009,1.168
Malta,MLT,2009,1.112
"Netherlands, The",NLD,2009,1.213
New Zealand,NZL,2009,0.054
Norway,NOR,2009,1.409
"Poland, Rep. of",POL,2009,1.248
Portugal,PRT,2009,1.381
Romania,ROU,2009,1.609
Russian Federation,RUS,2009,1.182
Slovak Rep.,SVK,2009,1.496
"Slovenia, Rep. of",SVN,2009,1.667
Spain,ESP,2009,1.286
Sweden,SWE,2009,1.438
Switzerland,CHE,2009,1.359
Turkey,TUR,2009,0.643
Ukraine,UKR,2009,1.594
United Kingdom,GBR,2009,0.947
United States,USA,2009,0.396
World,WLD,2009,0.944
Australia,AUS,2010,0.624
Austria,AUT,2010,0.662
"Belarus, Rep. of",BLR,2010,1.434
Belgium,BEL,2010,0.215
Brazil,BRA,2010,1.099
Bulgaria,BGR,2010,1.335
Canada,CAN,2010,2.928
"China, P.R.: Mainland",CHN,2010,0.942
"Croatia, Rep. of",HRV,2010,0.878
Cyprus,CYP,2010,1.981
Czech Rep.,CZE,2010,0.396
Denmark,DNK,2010,-0.195
"Estonia, Rep. of",EST,2010,0.52
Finland,FIN,2010,0.232
France,FRA,2010,0.326
Germany,DEU,2010,0.182
Greece,GRC,2010,1.551
Hungary,HUN,2010,0.83
Iceland,ISL,2010,1.218
Ireland,IRL,2010,-0.086
Italy,ITA,2010,0.696
Japan,JPN,2010,0.884
"Kazakhstan, Rep. of",KAZ,2010,1.299
"Korea, Rep. of",KOR,2010,0.542
Latvia,LVA,2010,0.665
Liechtenstein,LIE,2010,0.475
Lithuania,LTU,2010,0.723
Luxembourg,LUX,2010,0.303
Malta,MLT,2010,1.287
"Netherlands, The",NLD,2010,0.088
New Zealand,NZL,2010,0.59
Norway,NOR,2010,-0.32
"Poland, Rep. of",POL,2010,0.372
Portugal,PRT,2010,1.094
Romania,ROU,2010,1.154
Russian Federation,RUS,2010,0.871
Slovak Rep.,SVK,2010,0.68
"Slovenia, Rep. of",SVN,2010,0.808
Spain,ESP,2010,0.835
Sweden,SWE,2010,-0.274
Switzerland,CHE,2010,0.433
Turkey,TUR,2010,2.348
Ukraine,UKR,2010,1.635
United Kingdom,GBR,2010,-0.054
United States,USA,2010,0.69
World,WLD,2010,1.205
Australia,AUS,2011,0.156
Austria,AUT,2011,1.381
"Belarus, Rep. of",BLR,2011,0.989
Belgium,BEL,2011,1.268
Brazil,BRA,2011,0.782
Bulgaria,BGR,2011,0.399
Canada,CAN,2011,1.457
"China, P.R.: Mainland",CHN,2011,0.764
"Croatia, Rep. of",HRV,2011,1.269
Cyprus,CYP,2011,0.692
Czech Rep.,CZE,2011,1.029
Denmark,DNK,2011,0.684
"Estonia, Rep. of",EST,2011,1.276
Finland,FIN,2011,1.345
France,FRA,2011,1.462
Germany,DEU,2011,1.108
Greece,GRC,2011,0.365
Hungary,HUN,2011,0.915
Iceland,ISL,2011,1.026
Ireland,IRL,2011,0.576
Italy,ITA,2011,1.2
Japan,JPN,2011,0.556
"Kazakhstan, Rep. of",KAZ,2011,0.738
"Korea, Rep. of",KOR,2011,0.347
Latvia,LVA,2011,1.118
Liechtenstein,LIE,2011,1.653
Lithuania,LTU,2011,0.914
Luxembourg,LUX,2011,1.321
Malta,MLT,2011,1.067
"Netherlands, The",NLD,2011,1.056
New Zealand,NZL,2011,0.658
Norway,NOR,2011,1.428
"Poland, Rep. of",POL,2011,0.736
Portugal,PRT,2011,1.577
Romania,ROU,2011,0.482
Russian Federation,RUS,2011,1.695
Slovak Rep.,SVK,2011,0.84
"Slovenia, Rep. of",SVN,2011,1.391
Spain,ESP,2011,1.539
Sweden,SWE,2011,1.278
Switzerland,CHE,2011,1.649
Turkey,TUR,2011,0.354
Ukraine,UKR,2011,0.564
United Kingdom,GBR,2011,0.847
United States,USA,2011,0.534
World,WLD,2011,0.907
Australia,AUS,2012,0.258
Austria,AUT,2012,1.791
"Belarus, Rep. of",BLR,2012,1.526
Belgium,BEL,2012,1.113
Brazil,BRA,2012,1.006
Bulgaria,BGR,2012,1.659
Canada,CAN,2012,2.165
"China, P.R.: Mainland",CHN,2012,0.596
"Croatia, Rep. of",HRV,2012,1.857
Cyprus,CYP,2012,0.949
Czech Rep.,CZE,2012,1.57
Denmark,DNK,2012,1.145
"Estonia, Rep. of",EST,2012,1.442
Finland,FIN,2012,1.533
France,FRA,2012,1.146
Germany,DEU,2012,1.338
Greece,GRC,2012,1.21
Hungary,HUN,2012,1.751
Iceland,ISL,2012,0.748
Ireland,IRL,2012,0.715
Italy,ITA,2012,1.486
Japan,JPN,2012,0.353
"Kazakhstan, Rep. of",KAZ,2012,1.143
"Korea, Rep. of",KOR,2012,0.419
Latvia,LVA,2012,1.369
Liechtenstein,LIE,2012,1.607
Lithuania,LTU,2012,1.323
Luxembourg,LUX,2012,1.244
Malta,MLT,2012,1.417
"Netherlands, The",NLD,2012,1.135
New Zealand,NZL,2012,0.093
Norway,NOR,2012,1.084
"Poland, Rep. of",POL,2012,1.355
Portugal,PRT,2012,0.767
Romania,ROU,2012,1.815
Russian Federation,RUS,2012,1.926
Slovak Rep.,SVK,2012,1.57
"Slovenia, Rep. of",SVN,2012,1.967
Spain,ESP,2012,0.958
Sweden,SWE,2012,1.322
Switzerland,CHE,2012,1.486
Turkey,TUR,2012,0.93
Ukraine,UKR,2012,1.938
United Kingdom,GBR,2012,0.574
United States,USA,2012,1.445
World,WLD,2012,1.058
Australia,AUS,2013,1.459
Austria,AUT,2013,1.103
"Belarus, Rep. of",BLR,2013,1.169
Belgium,BEL,2013,0.449
Brazil,BRA,2013,0.921
Bulgaria,BGR,2013,1.462
Canada,CAN,2013,1.203
"China, P.R.: Mainland",CHN,2013,1.05
"Croatia, Rep. of",HRV,2013,1.282
Cyprus,CYP,2013,1.221
Czech Rep.,CZE,2013,0.77
Denmark,DNK,2013,0.401
"Estonia, Rep. of",EST,2013,1.157
Finland,FIN,2013,1.414
France,FRA,2013,0.638
Germany,DEU,2013,0.571
Greece,GRC,2013,1.3
Hungary,HUN,2013,1.18
Iceland,ISL,2013,0.776
Ireland,IRL,2013,0.584
Italy,ITA,2013,0.946
Japan,JPN,2013,0.583
"Kazakhstan, Rep. of",KAZ,2013,1.614
"Korea, Rep. of",KOR,2013,0.522
Latvia,LVA,2013,1.046
Liechtenstein,LIE,2013,0.92
Lithuania,LTU,2013,0.926
Luxembourg,LUX,2013,0.553
Malta,MLT,2013,1.328
"Netherlands, The",NLD,2013,0.414
New Zealand,NZL,2013,0.932
Norway,NOR,2013,0.815
"Poland, Rep. of",POL,2013,0.622
Portugal,PRT,2013,0.905
Romania,ROU,2013,1.366
Russian Federation,RUS,2013,1.16
Slovak Rep.,SVK,2013,0.948
"Slovenia, Rep. of",SVN,2013,1.27
Spain,ESP,2013,0.818
Sweden,SWE,2013,0.863
Switzerland,CHE,2013,0.753
Turkey,TUR,2013,1.317
Ukraine,UKR,2013,1.501
United Kingdom,GBR,2013,0.373
United States,USA,2013,0.613
World,WLD,2013,1.007
Australia,AUS,2014,1.166
Austria,AUT,2014,2.427
"Belarus, Rep. of",BLR,2014,2.137
Belgium,BEL,2014,2.399
Brazil,BRA,2014,1.157
Bulgaria,BGR,2014,1.207
Canada,CAN,2014,0.298
"China, P.R.: Mainland",CHN,2014,1.044
"Croatia, Rep. of",HRV,2014,2.044
Cyprus,CYP,2014,1.066
Czech Rep.,CZE,2014,2.494
Denmark,DNK,2014,2.681
"Estonia, Rep. of",EST,2014,2.403
Finland,FIN,2014,2.584
France,FRA,2014,1.965
Germany,DEU,2014,2.506
Greece,GRC,2014,1.028
Hungary,HUN,2014,2.232
Iceland,ISL,2014,1.737
Ireland,IRL,2014,1.424
Italy,ITA,2014,1.573
Japan,JPN,2014,0.516
"Kazakhstan, Rep. of",KAZ,2014,0.669
"Korea, Rep. of",KOR,2014,1.027
Latvia,LVA,2014,2.284
Liechtenstein,LIE,2014,2.239
Lithuania,LTU,2014,2.196
Luxembourg,LUX,2014,2.452
Malta,MLT,2014,1.472
"Netherlands, The",NLD,2014,2.548
New Zealand,NZL,2014,0.475
Norway,NOR,2014,2.441
"Poland, Rep. of",POL,2014,2.32
Portugal,PRT,2014,1.308
Romania,ROU,2014,1.548
Russian Federation,RUS,2014,1.749
Slovak Rep.,SVK,2014,2.315
"Slovenia, Rep. of",SVN,2014,2.474
Spain,ESP,2014,1.517
Sweden,SWE,2014,2.711
Switzerland,CHE,2014,2.128
Turkey,TUR,2014,1.29
Ukraine,UKR,2014,1.691
United Kingdom,GBR,2014,1.739
United States,USA,2014,0.5
World,WLD,2014,1.042
Australia,AUS,2015,1.062
Austria,AUT,2015,2.183
"Belarus, Rep. of",BLR,2015,2.211
Belgium,BEL,2015,1.35
Brazil,BRA,2015,1.587
Bulgaria,BGR,2015,1.458
Canada,CAN,2015,1.222
"China, P.R.: Mainland",CHN,2015,1.279
"Croatia, Rep. of",HRV,2015,1.933
Cyprus,CYP,2015,1.184
Czech Rep.,CZE,2015,2.112
Denmark,DNK,2015,1.523
"Estonia, Rep. of",EST,2015,2.344
Finland,FIN,2015,2.605
France,FRA,2015,1.513
Germany,DEU,2015,1.658
Greece,GRC,2015,0.889
Hungary,HUN,2015,2.092
Iceland,ISL,2015,0.494
Ireland,IRL,2015,0.51
Italy,ITA,2015,1.647
Japan,JPN,2015,0.789
"Kazakhstan, Rep. of",KAZ,2015,1.605
"Korea, Rep. of",KOR,2015,0.953
Latvia,LVA,2015,2.126
Liechtenstein,LIE,2015,2.043
Lithuania,LTU,2015,2.063
Luxembourg,LUX,2015,1.498
Malta,MLT,2015,1.455
"Netherlands, The",NLD,2015,1.269
New Zealand,NZL,2015,0.497
Norway,NOR,2015,1.818
"Poland, Rep. of",POL,2015,1.97
Portugal,PRT,2015,1.362
Romania,ROU,2015,1.798
Russian Federation,RUS,2015,2.241
Slovak Rep.,SVK,2015,2.099
"Slovenia, Rep. of",SVN,2015,2.171
Spain,ESP,2015,1.432
Sweden,SWE,2015,2.081
Switzerland,CHE,2015,1.925
Turkey,TUR,2015,0.777
Ukraine,UKR,2015,2.047
United Kingdom,GBR,2015,0.629
United States,USA,2015,1.525
World,WLD,2015,1.406
Australia,AUS,2016,1.145
Austria,AUT,2016,2.111
"Belarus, Rep. of",BLR,2016,2.168
Belgium,BEL,2016,1.861
Brazil,BRA,2016,1.477
Bulgaria,BGR,2016,1.932
Canada,CAN,2016,2.376
"China, P.R.: Mainland",CHN,2016,1.305
"Croatia, Rep. of",HRV,2016,1.843
Cyprus,CYP,2016,1.561
Czech Rep.,CZE,2016,2.067
Denmark,DNK,2016,1.856
"Estonia, Rep. of",EST,2016,1.895
Finland,FIN,2016,2.142
France,FRA,2016,1.689
Germany,DEU,2016,1.971
Greece,GRC,2016,1.584
Hungary,HUN,2016,1.923
Iceland,ISL,2016,1.485
Ireland,IRL,2016,1.098
Italy,ITA,2016,1.649
Japan,JPN,2016,1.274
"Kazakhstan, Rep. of",KAZ,2016,2.24
"Korea, Rep. of",KOR,2016,1.609
Latvia,LVA,2016,1.905
Liechtenstein,LIE,2016,2.022
Lithuania,LTU,2016,1.913
Luxembourg,LUX,2016,1.849
Malta,MLT,2016,1.721
"Netherlands, The",NLD,2016,1.914
New Zealand,NZL,2016,1.13
Norway,NOR,2016,1.745
"Poland, Rep. of",POL,2016,2.01
Portugal,PRT,2016,1.677
Romania,ROU,2016,1.883
Russian Federation,RUS,2016,2.454
Slovak Rep.,SVK,2016,1.925
"Slovenia, Rep. of",SVN,2016,2.091
Spain,ESP,2016,1.642
Sweden,SWE,2016,1.85
Switzerland,CHE,2016,1.806
Turkey,TUR,2016,1.547
Ukraine,UKR,2016,2.09
United Kingdom,GBR,2016,1.175
United States,USA,2016,2.219
World,WLD,2016,1.658
Australia,AUS,2017,1.122
Austria,AUT,2017,1.753
"Belarus, Rep. of",BLR,2017,1.562
Belgium,BEL,2017,1.695
Brazil,BRA,2017,1.375
Bulgaria,BGR,2017,0.987
Canada,CAN,2017,1.481
"China, P.R.: Mainland",CHN,2017,1.566
"Croatia, Rep. of",HRV,2017,1.562
Cyprus,CYP,2017,0.844
Czech Rep.,CZE,2017,1.585
Denmark,DNK,2017,1.624
"Estonia, Rep. of",EST,2017,1.474
Finland,FIN,2017,1.477
France,FRA,2017,1.682
Germany,DEU,2017,1.636
Greece,GRC,2017,0.65
Hungary,HUN,2017,1.373
Iceland,ISL,2017,1.77
Ireland,IRL,2017,1.318
